Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
769,Adyar Ananda Bhavan,"S-18, Main Market, Green Park, New Delhi",Green Park,"South Indian, North Indian, Street Food, Chinese, Mithai",500,4,Good,368
312011,Baked Love By Vatsala,"Near Uphaar Cinema, Green Park Main, New Delhi, Green Park, New Delhi",Green Park,"Bakery, Desserts",720,4,Good,38
65,Drums of Heaven,"S-14, Green Park Extension, Green Park, New Delhi",Green Park,"Chinese, Seafood, Thai",1800,4,Good,234
9672,Dunkin' Donuts,"S 36, Main Market, Green Park, New Delhi",Green Park,"Burger, Desserts, Fast Food",600,4,Good,431
472,Evergreen Sweet House,"S-29 & 30, Main Market, Green Park, New Delhi",Green Park,"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",450,4,Good,1198
3400,Gung The Palace,"D-1/B, Near Ashirwad Complex, Green Park, New Delhi",Green Park,Korean,2500,4,Good,303
18337744,Keventers,"Shop G53, Main Market, Green Park, New Delhi",Green Park,Beverages,250,4,Good,16
18268360,La Seine -The Chocolate Emporium,"G-54, Main Market, Green Park, New Delhi",Green Park,"Bakery, Desserts, Fast Food",300,4,Good,25
4096,Nagaland's Kitchen,"S-2, Uphaar Cinema Complex, Green Park Extension Market, Green Park, New Delhi",Green Park,"Chinese, Thai, Seafood, Naga",1200,4,Good,556
18358700,Pasta La Vista,"S-4, Oriental House, Gulmohar Enclave Commercial Complex, Green Park, New Delhi",Green Park,Cafe,600,4,Good,95
2217,Tamura,"S-16, Uphar Commercial Complex, Green Park Extension Market, Green Park, New Delhi",Green Park,Japanese,1500,4,Good,163
18398571,The Chai Story,"S1, Green Park Extension, Green Park, New Delhi",Green Park,Cafe,300,4,Good,42
1621,The Clay Oven,"D-1, Hotel Park Residency, Green Park, New Delhi",Green Park,"North Indian, Mughlai, Chinese",1200,4,Good,181
18425177,Aazad Chicken Corner,"S-12, Green Park Extension, Green Park, New Delhi",Green Park,"Biryani, Mughlai",200,1,Not rated,0
18481289,Chaipiyoji,"G 39, Opposite The Asian Age Green Park, Green Park Main Market, Green Park, New Delhi",Green Park,"Tea, Fast Food",200,1,Not rated,0
18424593,Chatkara,"Opposite S-26, Green Park, New Delhi",Green Park,Street Food,200,1,Not rated,0
18383432,HoG - House of Goodies,"A 130, Neeti Bagh, Green Park, New Delhi",Green Park,"Bakery, Desserts",350,1,Not rated,3
18412904,Kettle & Kegs,"Green Park, New Delhi",Green Park,Tea,200,1,Not rated,0
